Date,Open,High,Low,Close,Volume
12/2022,"348.03","355.67","324.35","336.53","65,104,637"
11/2022,"321.01","350.97","278.23","344.93","70,791,369"
10/2022,"278.27","330.58","276.60","318.50","82,414,691"
09/2022,"371.00","396.39","274.73","275.20","124,383,108"
08/2022,"406.51","451.15","371.06","373.44","51,827,633"
07/2022,"364.18","414.62","359.07","410.12","46,398,257"
06/2022,"428.00","441.90","338.00","366.06","71,842,535"
05/2022,"397.13","428.55","370.27","416.48","72,500,265"
04/2022,"455.00","473.49","394.64","395.95","54,963,360"
03/2022,"468.00","479.21","407.94","455.62","98,679,692"
02/2022,"536.00","540.46","416.81","467.68","70,330,185"
01/2022,"566.65","575.00","480.62","534.30","84,134,560"
