Date,Open,High,Low,Close,Volume
12/2022,"148.21","150.92","125.87","129.93","1,675,731,273"
11/2022,"155.08","155.45","134.38","148.03","1,724,948,220"
10/2022,"138.21","157.50","134.37","153.34","1,868,381,502"
09/2022,"156.64","164.26","138.00","138.20","2,084,775,196"
08/2022,"161.01","176.15","157.14","157.22","1,510,324,931"
07/2022,"136.04","163.63","135.66","162.51","1,447,364,704"
06/2022,"149.90","151.74","129.04","136.72","1,749,297,989"
05/2022,"156.71","166.48","132.61","148.84","2,401,040,288"
04/2022,"174.03","178.49","155.38","157.65","1,687,873,212"
03/2022,"164.70","179.61","150.10","174.61","2,180,882,416"
02/2022,"174.01","176.65","152.00","165.12","1,629,275,328"
01/2022,"177.83","182.94","154.70","174.78","2,109,283,422"
