Date,Open,High,Low,Close,Volume
12/2022,"72.73","74.15","71.80","71.84","160,030,498"
11/2022,"70.58","72.77","69.57","72.76","146,721,586"
10/2022,"71.70","72.24","69.09","70.35","150,594,534"
09/2022,"74.02","74.48","70.67","71.33","130,952,425"
08/2022,"76.90","77.18","74.51","74.60","128,854,024"
07/2022,"75.61","77.17","74.84","76.90","109,722,181"
06/2022,"76.56","76.64","73.20","75.26","149,482,073"
05/2022,"75.82","77.22","75.14","76.68","172,456,510"
04/2022,"78.83","79.30","76.10","76.19","163,147,632"
03/2022,"82.04","82.49","78.61","79.54","209,279,430"
02/2022,"82.89","83.14","80.96","81.92","133,029,695"
01/2022,"84.44","84.44","82.69","83.00","136,153,969"
