Date,Open,High,Low,Close
12/2022,"28.95","28.95","27.62","27.86"
11/2022,"25.72","28.83","25.28","28.83"
10/2022,"25.08","25.98","24.40","25.43"
09/2022,"27.12","27.98","24.59","24.59"
08/2022,"28.64","29.25","27.48","27.48"
07/2022,"27.59","28.64","26.68","28.64"
06/2022,"30.24","30.70","27.36","27.63"
05/2022,"29.95","30.55","28.29","30.49"
04/2022,"32.38","32.64","29.69","30.05"
03/2022,"31.70","32.61","29.85","32.07"
02/2022,"33.49","34.01","31.92","32.25"
01/2022,"34.29","34.75","32.45","33.23"
