Date,Open,High,Low,Close
12/2022,"99.35","99.35","91.61","93.10"
11/2022,"94.16","99.38","90.79","99.38"
10/2022,"89.57","95.08","87.27","94.44"
09/2022,"96.72","100.55","87.31","87.31"
08/2022,"100.16","105.22","96.64","96.64"
07/2022,"92.80","100.39","91.93","100.39"
06/2022,"99.79","101.82","89.10","91.77"
05/2022,"101.47","104.92","95.07","100.54"
04/2022,"111.28","112.17","100.81","100.81"
03/2022,"105.96","113.41","102.16","110.80"
02/2022,"111.34","112.55","103.58","107.65"
01/2022,"118.25","118.25","105.53","110.47"
