Portfolio surpasses mortgage on: 2043-05
PMI removed on: 2025-01

Year-Month | Portfolio Value | Remaining Mortgage | Home Value
--------------------------------------------------------------------------------
2025-01 | $10,050.00 | $76,434.46 | $100,208.33
2025-03 | $10,100.00 | $76,368.54 | $100,417.10
2025-04 | $10,150.00 | $76,302.26 | $100,626.30
2025-05 | $10,200.00 | $76,235.60 | $100,835.94
2025-06 | $10,250.00 | $76,168.56 | $101,046.02
2025-07 | $10,300.00 | $76,101.15 | $101,256.53
2025-08 | $10,350.00 | $76,033.35 | $101,467.48
2025-09 | $10,400.00 | $75,965.17 | $101,678.87
2025-10 | $10,450.00 | $75,896.61 | $101,890.70
2025-11 | $10,500.00 | $75,827.66 | $102,102.97
2025-12 | $10,550.00 | $75,758.32 | $102,315.69
2026-01 | $11,233.00 | $75,688.59 | $102,528.85
2026-01 | $11,283.00 | $75,618.47 | $102,742.45
2026-03 | $11,333.00 | $75,547.95 | $102,956.49
2026-04 | $11,383.00 | $75,477.03 | $103,170.99
2026-05 | $11,433.00 | $75,405.71 | $103,385.93
2026-06 | $11,483.00 | $75,333.99 | $103,601.31
2026-07 | $11,533.00 | $75,261.86 | $103,817.15
2026-08 | $11,583.00 | $75,189.33 | $104,033.44
2026-09 | $11,633.00 | $75,116.39 | $104,250.17
2026-10 | $11,683.00 | $75,043.03 | $104,467.36
2026-11 | $11,733.00 | $74,969.26 | $104,685.00
2026-12 | $11,783.00 | $74,895.08 | $104,903.09
2027-01 | $12,539.98 | $74,820.47 | $105,121.64
2027-01 | $12,589.98 | $74,745.45 | $105,340.65
2027-03 | $12,639.98 | $74,670.00 | $105,560.11
2027-04 | $12,689.98 | $74,594.12 | $105,780.02
2027-05 | $12,739.98 | $74,517.82 | $106,000.40
2027-06 | $12,789.98 | $74,441.08 | $106,221.23
2027-07 | $12,839.98 | $74,363.92 | $106,442.53
2027-08 | $12,889.98 | $74,286.31 | $106,664.28
2027-09 | $12,939.98 | $74,208.27 | $106,886.50
2027-10 | $12,989.98 | $74,129.79 | $107,109.18
2027-11 | $13,039.98 | $74,050.87 | $107,332.32
2027-12 | $13,089.98 | $73,971.50 | $107,555.93
2028-01 | $13,925.38 | $73,891.68 | $107,780.01
2028-02 | $13,975.38 | $73,811.41 | $108,004.55
2028-03 | $14,025.38 | $73,730.68 | $108,229.56
2028-04 | $14,075.38 | $73,649.51 | $108,455.04
2028-05 | $14,125.38 | $73,567.87 | $108,680.98
2028-06 | $14,175.38 | $73,485.77 | $108,907.40
2028-07 | $14,225.38 | $73,403.21 | $109,134.29
2028-08 | $14,275.38 | $73,320.18 | $109,361.66
2028-09 | $14,325.38 | $73,236.69 | $109,589.49
2028-10 | $14,375.38 | $73,152.72 | $109,817.80
2028-11 | $14,425.38 | $73,068.28 | $110,046.59
2028-12 | $14,475.38 | $72,983.36 | $110,275.85
2029-01 | $15,393.90 | $72,897.96 | $110,505.60
2029-01 | $15,443.90 | $72,812.08 | $110,735.82
2029-03 | $15,493.90 | $72,725.72 | $110,966.52
2029-04 | $15,543.90 | $72,638.87 | $111,197.70
2029-05 | $15,593.90 | $72,551.52 | $111,429.36
2029-06 | $15,643.90 | $72,463.69 | $111,661.50
2029-07 | $15,693.90 | $72,375.36 | $111,894.13
2029-08 | $15,743.90 | $72,286.53 | $112,127.24
